ID;VL_FATU;VL_SLDO;DT_ABRT;DS_CNAE;DT_REFE
CNPJ_00088;1656210;-74834;04/05/2021;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00089;2740451;-6961;05/05/2021;Cultivo de milho;31/01/2025
CNPJ_00090;395094;11953;15/05/2020;Telecomunicações sem fio;31/01/2025
CNPJ_00091;1317922;100977;17/07/2014;Administração pública;31/01/2025
CNPJ_00092;11099849;909523;15/01/2020;Educação superior;31/01/2025
CNPJ_00093;434581;58360;06/09/2022;Cultivo de milho;31/01/2025
CNPJ_00094;854335;-53370;02/08/2022;Construção de rodovias;31/01/2025
CNPJ_00095;95709;-6912;21/03/2020;Fabricação de móveis;31/01/2025
CNPJ_00096;1929832;112429;27/11/2022;Produção de alumínio;31/01/2025
CNPJ_00097;221885;-5325;08/06/2023;Produção cinematográfica;31/01/2025
CNPJ_00098;1204408;-97234;19/07/2014;Educação superior;31/01/2025
CNPJ_00099;44548282;743251;11/04/2000;Construção de rodovias;31/01/2025
CNPJ_00100;257727;9038;12/08/2022;Comércio atacadista de bebidas;31/01/2025
CNPJ_00101;259538;3300;01/12/2022;Cultivo de trigo;31/01/2025
CNPJ_00102;107861609;3649957;22/09/2007;Educação superior;31/01/2025
CNPJ_00103;907249;7513;19/07/2019;Transporte ferroviário de carga;31/01/2025
CNPJ_00104;1293041;-114244;11/04/2017;Extração de minério de ferro;31/01/2025
CNPJ_00105;909810;59918;28/07/2014;Comércio atacadista de calçados;31/01/2025
CNPJ_00106;132136375;-11805051;16/04/2002;Fabricação de papel;31/01/2025
CNPJ_00107;420842;199;25/01/2021;Produção de alumínio;31/01/2025
CNPJ_00108;125646;-12155;29/08/2023;Saneamento básico;31/01/2025
CNPJ_00109;160471614;5570310;09/08/2012;Extração de minério de ferro;31/01/2025
CNPJ_00110;435001;-22015;22/08/2022;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00111;1575703;-82003;26/10/2015;Engenharia civil;31/01/2025
CNPJ_00112;29153202;-869413;02/11/2012;Construção de rodovias;31/01/2025
CNPJ_00113;185773139;16706485;10/07/2006;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00114;2072166;19784;01/05/2017;Fabricação de produtos químicos;31/01/2025
CNPJ_00115;221165;8392;21/01/2022;Comércio atacadista de calçados;31/01/2025
CNPJ_00116;106290;-3630;09/05/2019;Transporte rodoviário de carga;31/01/2025
CNPJ_00117;2598726;-18909;13/03/2022;Comércio atacadista de medicamentos;31/01/2025
CNPJ_00118;630718;-22815;13/10/2021;Comércio varejista de alimentos;31/01/2025
CNPJ_00119;2403080;170495;17/02/2017;Hotéis e pousadas;31/01/2025
CNPJ_00120;196797;7038;15/06/2020;Cultivo de soja;31/01/2025
CNPJ_00121;985733;58004;21/11/2017;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00122;7754973;-910634;18/03/2018;Seguros de vida;31/01/2025
CNPJ_00123;284701;-37862;11/01/2022;Montagem industrial;31/01/2025
CNPJ_00124;7929323;578814;19/02/2010;Geração de energia elétrica;31/01/2025
CNPJ_00125;1080210;88236;28/02/2022;Cultivo de soja;31/01/2025
CNPJ_00126;1832892;-105009;29/05/2019;Extração de petróleo e gás natural;31/01/2025
CNPJ_00127;1003331;-146939;05/11/2014;Administração pública;31/01/2025
CNPJ_00128;298196;-20844;24/08/2022;Engenharia civil;31/01/2025
CNPJ_00129;92882;171;28/02/2022;Fabricação de produtos químicos;31/01/2025
CNPJ_00130;238455;9494;11/09/2021;Extração de petróleo e gás natural;31/01/2025
CNPJ_00131;12291356;1204681;04/08/2001;Administração pública;31/01/2025
CNPJ_00132;220552;-13108;08/03/2019;Montagem industrial;31/01/2025
CNPJ_00133;2147430;-210652;13/04/2016;Produção de ferro-gusa;31/01/2025
CNPJ_00134;229059;8048;25/09/2023;Cultivo de soja;31/01/2025
CNPJ_00135;752850;-49960;02/08/2016;Engenharia civil;31/01/2025
CNPJ_00136;234311;4534;10/12/2019;Planos de saúde;31/01/2025
CNPJ_00137;2310663;-31497;22/04/2022;Transporte ferroviário de carga;31/01/2025
CNPJ_00138;28011124;-1839677;22/03/2020;Serviços de tecnologia da informação;31/01/2025
CNPJ_00139;23128916;-1949656;10/07/2006;Comércio varejista de alimentos;31/01/2025
CNPJ_00140;1063710;1323;09/01/2018;Hotéis e pousadas;31/01/2025
CNPJ_00141;1988174;-36989;14/10/2021;Fabricação de produtos químicos;31/01/2025
CNPJ_00142;915301;62046;05/04/2016;Hotéis e pousadas;31/01/2025
CNPJ_00143;19152162;245608;09/12/2005;Construção de edifícios;31/01/2025
CNPJ_00144;2733257;10910;26/08/2014;Fabricação de papel;31/01/2025
CNPJ_00145;86396;-7465;31/10/2023;Fabricação de produtos químicos;31/01/2025
CNPJ_00146;1627349;64938;15/10/2016;Administração pública;31/01/2025
CNPJ_00147;658309;53598;01/07/2020;Comércio varejista de alimentos;31/01/2025
CNPJ_00148;833962;117025;30/04/2021;Comércio atacadista de alimentos;31/01/2025
CNPJ_00149;74389;1160;01/09/2019;Produção cinematográfica;31/01/2025
CNPJ_00150;182886;3163;16/04/2020;Televisão por assinatura;31/01/2025
CNPJ_00151;286444;6846;28/04/2020;Serviços de tecnologia da informação;31/01/2025
CNPJ_00152;77111;2834;04/02/2022;Comércio atacadista de bebidas;31/01/2025
CNPJ_00153;2133202;-156592;20/06/2017;Cultivo de trigo;31/01/2025
CNPJ_00154;283402;-27416;21/12/2021;Cultivo de trigo;31/01/2025
CNPJ_00155;64974193;3136021;30/04/1999;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00156;1110561;-52609;20/11/2020;Administração pública;31/01/2025
CNPJ_00157;264594;-12561;06/03/2021;Consultoria empresarial;31/01/2025
CNPJ_00158;143378;-12825;21/05/2021;Fabricação de automóveis;31/01/2025
CNPJ_00159;102391273;77004;22/04/2015;Administração pública;31/01/2025
CNPJ_00160;777923;-65301;26/07/2018;Administração pública;31/01/2025
CNPJ_00161;49215617;2605548;29/07/2008;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00162;1262171;-60339;26/06/2019;Restaurantes e similares;31/01/2025
CNPJ_00163;2127450;-69500;03/01/2022;Telecomunicações sem fio;31/01/2025
CNPJ_00164;6986436;184816;20/12/2011;Comércio atacadista de calçados;31/01/2025
CNPJ_00165;5832040;-180644;24/05/2020;Cultivo de milho;31/01/2025
CNPJ_00166;62217;-2915;08/04/2022;Comércio atacadista de tecidos;31/01/2025
CNPJ_00167;23230413;-918453;25/03/2008;Comércio atacadista de tecidos;31/01/2025
CNPJ_00168;17866422;555369;18/01/2017;Comércio varejista de alimentos;31/01/2025
CNPJ_00169;10850676;658696;29/03/2009;Comércio varejista de alimentos;31/01/2025
CNPJ_00170;937210;-110635;03/01/2020;Atividades de bancos múltiplos;31/01/2025
CNPJ_00171;164306317;9229778;23/07/2000;Comércio atacadista de tecidos;31/01/2025
CNPJ_00172;248407;-26676;21/03/2021;Planos de saúde;31/01/2025
CNPJ_00173;26729033;1579620;31/03/2020;Montagem industrial;31/01/2025
CNPJ_00174;1787948;-100792;17/09/2020;Montagem industrial;31/01/2025
CNPJ_00175;126779209;-3947823;16/12/1998;Comércio atacadista de alimentos;31/01/2025
CNPJ_00176;19946776;-525690;12/05/2015;Comércio atacadista de alimentos;31/01/2025
CNPJ_00177;127779904;7903508;06/07/2013;Transporte rodoviário de carga;31/01/2025
CNPJ_00178;307124;-7699;29/12/2019;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00179;6003576;102273;23/01/2012;Televisão por assinatura;31/01/2025
CNPJ_00180;1037505;-15982;25/10/2019;Restaurantes e similares;31/01/2025
CNPJ_00181;328709;-22389;07/07/2016;Comércio atacadista de tecidos;31/01/2025
CNPJ_00182;2637685;-85519;16/12/2015;Comércio atacadista de calçados;31/01/2025
CNPJ_00183;2586974;870;27/12/2020;Produção cinematográfica;31/01/2025
CNPJ_00184;101444;848;30/12/2020;Hotéis e pousadas;31/01/2025
CNPJ_00185;129274;-10453;20/12/2020;Comércio atacadista de alimentos;31/01/2025
CNPJ_00186;637476;66249;14/06/2020;Fabricação de automóveis;31/01/2025
CNPJ_00187;2649171;11177;18/08/2017;Comércio atacadista de tecidos;31/01/2025
CNPJ_00188;192178;-19150;25/11/2021;Produção de ferro-gusa;31/01/2025
CNPJ_00189;628093;35613;18/02/2017;Produção de alumínio;31/01/2025
CNPJ_00190;955011;90244;15/07/2016;Cultivo de trigo;31/01/2025
CNPJ_00191;13231303;41933;08/11/2011;Fabricação de papel;31/01/2025
CNPJ_00192;1829924;-19;21/08/2019;Televisão por assinatura;31/01/2025
CNPJ_00193;53028563;5294955;28/04/2014;Educação superior;31/01/2025
CNPJ_00194;69218;-1265;19/12/2022;Cultivo de soja;31/01/2025
CNPJ_00195;299285;18505;03/12/2019;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00196;2280534;-204304;15/12/2017;Fabricação de produtos químicos;31/01/2025
CNPJ_00197;217461;1337;01/10/2023;Defesa nacional;31/01/2025
CNPJ_00198;66706;3794;04/10/2022;Comércio atacadista de calçados;31/01/2025
CNPJ_00199;2139129;-209549;21/08/2014;Fabricação de móveis;31/01/2025
CNPJ_00200;2696516;266472;02/11/2020;Produção de ferro-gusa;31/01/2025
CNPJ_00201;1580214;122922;20/11/2017;Comércio atacadista de bebidas;31/01/2025
CNPJ_00202;2143872;-198666;04/02/2018;Montagem industrial;31/01/2025
CNPJ_00203;12808554;522269;01/02/2001;Correios e entregas expressas;31/01/2025
CNPJ_00204;2797658;118405;28/06/2020;Construção de edifícios;31/01/2025
CNPJ_00205;297080;18538;26/04/2023;Produção de alumínio;31/01/2025
CNPJ_00206;1769071;-34123;19/01/2021;Serviços de tecnologia da informação;31/01/2025
CNPJ_00207;104695;-6876;26/11/2023;Saneamento básico;31/01/2025
CNPJ_00208;29348256;-2036519;03/06/2000;Produção de alumínio;31/01/2025
CNPJ_00209;22750019;-440599;04/08/2008;Planos de saúde;31/01/2025
CNPJ_00210;2052618;102884;11/11/2016;Construção de rodovias;31/01/2025
CNPJ_00211;25162853;2679361;24/03/2004;Comércio atacadista de medicamentos;31/01/2025
CNPJ_00212;1830147;33468;02/03/2019;Serviços de tecnologia da informação;31/01/2025
CNPJ_00213;4032387;-11261;19/06/2021;Cultivo de trigo;31/01/2025
CNPJ_00214;239989;20119;26/05/2020;Cultivo de arroz;31/01/2025
CNPJ_00215;360213;-27989;15/02/2017;Atividades hospitalares;31/01/2025
CNPJ_00216;513849;-48734;16/02/2018;Saneamento básico;31/01/2025
CNPJ_00217;167284;5924;13/05/2022;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00218;1458755;-116381;28/08/2014;Restaurantes e similares;31/01/2025
CNPJ_00219;1041842;60439;20/08/2016;Televisão aberta;31/01/2025
CNPJ_00220;1411522;-185138;14/02/2016;Seguros de vida;31/01/2025
CNPJ_00221;1134149;-82811;25/01/2016;Atividades de bancos múltiplos;31/01/2025
CNPJ_00222;275029;-22546;01/03/2022;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00223;1031151;38159;10/08/2019;Transporte rodoviário de carga;31/01/2025
CNPJ_00224;27899422;-2279953;21/08/2003;Montagem industrial;31/01/2025
CNPJ_00225;2930207;177887;25/03/2022;Televisão por assinatura;31/01/2025
CNPJ_00226;2084322;177978;09/01/2018;Cultivo de arroz;31/01/2025
CNPJ_00227;62641;-2734;16/07/2023;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00228;1566356;39800;28/07/2017;Consultoria empresarial;31/01/2025
CNPJ_00229;187382;-11197;07/10/2022;Comércio atacadista de calçados;31/01/2025
CNPJ_00230;196792;-8089;22/12/2019;Telecomunicações sem fio;31/01/2025
CNPJ_00231;2360178;29177;16/09/2020;Transporte rodoviário de carga;31/01/2025
CNPJ_00232;175491282;-7448217;12/01/2001;Comércio varejista de combustíveis;31/01/2025
CNPJ_00233;3995873;103864;16/08/2019;Serviços de tecnologia da informação;31/01/2025
CNPJ_00234;293542;-4735;19/11/2023;Produção cinematográfica;31/01/2025
CNPJ_00235;1606964;184987;10/08/2021;Cultivo de arroz;31/01/2025
CNPJ_00236;541209;-33554;08/01/2019;Padaria e confeitaria;31/01/2025
CNPJ_00237;146394;-5589;05/01/2022;Cultivo de milho;31/01/2025
CNPJ_00238;26555785;-715557;03/09/2010;Seguros de vida;31/01/2025
CNPJ_00239;2966843;-138623;15/12/2017;Hotéis e pousadas;31/01/2025
CNPJ_00240;122905;5951;15/12/2023;Comércio atacadista de calçados;31/01/2025
CNPJ_00241;216092;5266;01/12/2019;Comércio varejista de combustíveis;31/01/2025
CNPJ_00242;2428276;32395;11/09/2018;Armazenamento geral;31/01/2025
CNPJ_00243;2953832;-195168;09/08/2018;Extração de petróleo e gás natural;31/01/2025
CNPJ_00244;1436618;85059;29/01/2020;Hotéis e pousadas;31/01/2025
CNPJ_00245;2026716;-150292;06/01/2019;Cultivo de arroz;31/01/2025
CNPJ_00246;80516;1379;23/08/2023;Fabricação de móveis;31/01/2025
CNPJ_00247;2155747;-139595;27/05/2015;Construção de rodovias;31/01/2025
CNPJ_00248;2630684;54056;17/07/2020;Televisão aberta;31/01/2025
CNPJ_00249;13446192;-712921;28/12/2005;Televisão por assinatura;31/01/2025
CNPJ_00250;162060;-10488;27/06/2023;Televisão aberta;31/01/2025
CNPJ_00251;170822;19084;06/02/2020;Televisão aberta;31/01/2025
CNPJ_00252;2709288;-210031;04/05/2021;Atividades hospitalares;31/01/2025
CNPJ_00253;1053114;80509;14/11/2014;Construção de edifícios;31/01/2025
CNPJ_00254;195103;5784;04/03/2023;Construção de barragens;31/01/2025
CNPJ_00255;750769;27007;02/05/2018;Transporte rodoviário de carga;31/01/2025
CNPJ_00256;106812;-8866;03/10/2021;Restaurantes e similares;31/01/2025
CNPJ_00257;508160;32531;18/09/2015;Extração de minério de ferro;31/01/2025
CNPJ_00258;2520676;-169049;06/02/2016;Comércio varejista de alimentos;31/01/2025
CNPJ_00259;233772;-5340;13/12/2021;Hotéis e pousadas;31/01/2025
CNPJ_00260;219629;-14327;25/01/2021;Comércio atacadista de calçados;31/01/2025
CNPJ_00261;958311;-52782;10/11/2020;Engenharia civil;31/01/2025
CNPJ_00262;332020;-10183;19/08/2018;Telecomunicações sem fio;31/01/2025
CNPJ_00263;1276873;-14072;11/02/2015;Comércio varejista de alimentos;31/01/2025
CNPJ_00264;20454396;1066931;25/04/2004;Extração de petróleo e gás natural;31/01/2025
CNPJ_00265;639519;23249;26/05/2018;Cultivo de arroz;31/01/2025
CNPJ_00266;1349424;-70755;20/12/2014;Produção de ferro-gusa;31/01/2025
CNPJ_00267;194144;-24682;18/12/2019;Fabricação de automóveis;31/01/2025
CNPJ_00268;196285;3322;29/06/2022;Extração de minério de ferro;31/01/2025
CNPJ_00269;2379389;-202555;06/02/2021;Comércio varejista de combustíveis;31/01/2025
CNPJ_00270;132439792;2924254;04/06/2011;Educação superior;31/01/2025
CNPJ_00271;60093;8339;13/04/2023;Telecomunicações sem fio;31/01/2025
CNPJ_00272;997978;-24703;20/11/2017;Padaria e confeitaria;31/01/2025
CNPJ_00273;1560843;-120536;12/04/2021;Planos de saúde;31/01/2025
CNPJ_00274;6836857;464790;30/04/2011;Comércio atacadista de bebidas;31/01/2025
CNPJ_00275;488674;-21293;27/12/2016;Fabricação de automóveis;31/01/2025
CNPJ_00276;322793;-13709;08/06/2022;Fabricação de móveis;31/01/2025
CNPJ_00277;78060;2894;16/04/2020;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00278;1077654;-17177;10/02/2014;Cultivo de soja;31/01/2025
CNPJ_00279;648019;-8847;12/11/2020;Seguros de vida;31/01/2025
CNPJ_00280;2120562;-171422;11/07/2022;Restaurantes e similares;31/01/2025
CNPJ_00281;61285121;-1933187;24/11/2008;Comércio atacadista de alimentos;31/01/2025
CNPJ_00282;919729;16625;31/01/2017;Defesa nacional;31/01/2025
CNPJ_00283;263697;-9991;27/04/2021;Cultivo de soja;31/01/2025
CNPJ_00284;13358618;-1171303;28/10/2014;Comércio atacadista de alimentos;31/01/2025
CNPJ_00285;960994;24779;01/07/2022;Cultivo de soja;31/01/2025
CNPJ_00286;64487194;-3765089;20/01/2005;Produção de alumínio;31/01/2025
CNPJ_00287;1709146;51461;02/06/2019;Extração de petróleo e gás natural;31/01/2025
CNPJ_00288;2581326;36815;20/11/2018;Cultivo de trigo;31/01/2025
CNPJ_00289;184582038;-6343646;27/05/2010;Hotéis e pousadas;31/01/2025
CNPJ_00290;134472;-13781;12/01/2023;Consultoria empresarial;31/01/2025
CNPJ_00291;1969178;-37735;27/05/2018;Padaria e confeitaria;31/01/2025
CNPJ_00292;22394107;-1426443;30/08/2018;Telecomunicações sem fio;31/01/2025
CNPJ_00293;6891086;-316727;06/05/2018;Extração de minério de ferro;31/01/2025
CNPJ_00294;1685920;-107814;22/02/2016;Armazenamento geral;31/01/2025
CNPJ_00295;138747;11724;25/12/2022;Comércio varejista de combustíveis;31/01/2025
CNPJ_00296;29929481;-2950030;04/09/2006;Comércio atacadista de tecidos;31/01/2025
CNPJ_00297;66102;-1787;21/06/2020;Seguros de vida;31/01/2025
CNPJ_00298;2324976;86175;20/11/2020;Educação superior;31/01/2025
CNPJ_00299;1425564;-51485;09/06/2020;Defesa nacional;31/01/2025
CNPJ_00300;1995451;-92063;16/01/2021;Cultivo de arroz;31/01/2025
CNPJ_00301;108203;6516;14/10/2021;Distribuição de energia elétrica;31/01/2025
CNPJ_00302;1657789;-163774;09/04/2014;Comércio varejista de alimentos;31/01/2025
CNPJ_00303;1069884;-57592;03/11/2019;Cultivo de trigo;31/01/2025
CNPJ_00304;2053973;48995;02/08/2014;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00305;171599;-9510;03/10/2022;Saneamento básico;31/01/2025
CNPJ_00306;517644;-46023;03/03/2022;Seguros de vida;31/01/2025
CNPJ_00307;1479743;-96512;22/02/2014;Hotéis e pousadas;31/01/2025
CNPJ_00308;120404;9524;12/09/2021;Produção cinematográfica;31/01/2025
CNPJ_00309;15101344;68287;27/04/2018;Planos de saúde;31/01/2025
CNPJ_00310;1478700;56596;28/07/2021;Transporte ferroviário de carga;31/01/2025
CNPJ_00311;1020853;-6500;28/12/2021;Transporte rodoviário de carga;31/01/2025
CNPJ_00312;2685280;227823;17/04/2021;Transporte ferroviário de carga;31/01/2025
CNPJ_00313;2950516;69268;20/06/2018;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00314;89149003;715791;29/07/2014;Extração de minério de ferro;31/01/2025
CNPJ_00315;1870537;-79433;15/02/2020;Defesa nacional;31/01/2025
CNPJ_00316;2125310;-155425;29/08/2021;Comércio atacadista de alimentos;31/01/2025
CNPJ_00317;118815277;11121572;16/08/2013;Serviços de tecnologia da informação;31/01/2025
CNPJ_00318;1298642;-115655;13/09/2019;Obras de infraestrutura elétrica;31/01/2025
CNPJ_00319;194842029;15011272;01/04/2009;Televisão por assinatura;31/01/2025
CNPJ_00320;137282;-15516;13/02/2023;Atividades hospitalares;31/01/2025
CNPJ_00321;510738;-50501;13/07/2022;Geração de energia elétrica;31/01/2025
CNPJ_00322;2614474;158156;05/02/2022;Produção de ferro-gusa;31/01/2025
CNPJ_00323;2904689;41964;22/10/2019;Distribuição de energia elétrica;31/01/2025
CNPJ_00324;13983361;-763005;20/06/2011;Administração pública;31/01/2025
CNPJ_00325;277681;-7306;30/08/2021;Produção de ferro-gusa;31/01/2025
CNPJ_00326;2616658;177726;11/10/2016;Transporte ferroviário de carga;31/01/2025
CNPJ_00327;176562;7979;05/08/2023;Hotéis e pousadas;31/01/2025
CNPJ_00328;165320717;-13628291;19/05/2005;Engenharia civil;31/01/2025
CNPJ_00329;81186;4347;21/11/2021;Distribuição de energia elétrica;31/01/2025
CNPJ_00330;2391686;-615;23/06/2019;Transporte ferroviário de carga;31/01/2025
CNPJ_00331;26533274;1492761;01/02/2020;Comércio varejista de alimentos;31/01/2025
CNPJ_00332;2603891;-183819;02/09/2021;Produção de alumínio;31/01/2025
CNPJ_00333;15299573;-1713275;22/07/2012;Construção de edifícios;31/01/2025
CNPJ_00334;1386676;-61113;09/06/2017;Correios e entregas expressas;31/01/2025
CNPJ_00335;1621800;131483;26/12/2016;Televisão por assinatura;31/01/2025
CNPJ_00336;233568;14625;28/01/2022;Fabricação de caminhões e ônibus;31/01/2025
CNPJ_00337;2890534;-43086;24/01/2018;Distribuição de energia elétrica;31/01/2025
CNPJ_00338;80806;-5756;07/06/2021;Construção de rodovias;31/01/2025
